                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99171,                0.87532,                      1,                0.92507,             0.00023697,             0.00023697,             0.00023697
                      2,                0.52189,                 0.8626,                      1,                0.89594,              0.0004593,              0.0004593,              0.0004593
                      3,                0.46168,                0.89695,                      1,                0.87638,             0.00066592,             0.00066592,             0.00066592
                      4,                0.46864,                0.88422,                      1,                0.88303,             0.00064331,             0.00064331,             0.00064331
                      5,                0.38096,                0.88931,                      1,                 0.8875,             0.00061975,             0.00061975,             0.00061975
                      6,                0.36766,                0.89059,                      1,                0.87359,             0.00059619,             0.00059619,             0.00059619
                      7,                0.31546,                0.91349,                      1,                0.83764,             0.00057263,             0.00057263,             0.00057263
                      8,                0.24063,                0.89822,                      1,                0.84501,             0.00054907,             0.00054907,             0.00054907
                      9,                0.24578,                0.89567,                      1,                0.85974,              0.0005255,              0.0005255,              0.0005255
                     10,                0.20782,                0.89822,                      1,                0.85116,             0.00050194,             0.00050194,             0.00050194
                     11,                0.18091,                0.91221,                      1,                0.84057,             0.00047838,             0.00047838,             0.00047838
                     12,                0.15629,                0.90967,                      1,                0.84229,             0.00045482,             0.00045482,             0.00045482
                     13,                0.13009,                0.89949,                      1,                0.85083,             0.00043126,             0.00043126,             0.00043126
                     14,                0.12542,                0.89695,                      1,                 0.8497,             0.00040769,             0.00040769,             0.00040769
                     15,                 0.1139,                0.91858,                      1,                0.82942,             0.00038413,             0.00038413,             0.00038413
                     16,                0.11579,                0.91476,                      1,                 0.8324,             0.00036057,             0.00036057,             0.00036057
                     17,                0.08829,                0.89949,                      1,                0.85461,             0.00033701,             0.00033701,             0.00033701
                     18,                0.07834,                0.91476,                      1,                0.82941,             0.00031345,             0.00031345,             0.00031345
                     19,                0.07237,                 0.9084,                      1,                0.83538,             0.00028988,             0.00028988,             0.00028988
                     20,                0.06009,                0.91476,                      1,                0.83403,             0.00026632,             0.00026632,             0.00026632
                     21,                0.06095,                0.91476,                      1,                 0.8291,             0.00024276,             0.00024276,             0.00024276
                     22,                0.05148,                0.91858,                      1,                0.83141,              0.0002192,              0.0002192,              0.0002192
                     23,                0.04099,                0.92112,                      1,                0.82263,             0.00019564,             0.00019564,             0.00019564
                     24,                0.04514,                0.91603,                      1,                0.83191,             0.00017207,             0.00017207,             0.00017207
                     25,                0.03818,                0.92621,                      1,                 0.8201,             0.00014851,             0.00014851,             0.00014851
                     26,                0.03793,                0.92112,                      1,                 0.8225,             0.00012495,             0.00012495,             0.00012495
                     27,                0.03073,                 0.9173,                      1,                0.82957,             0.00010139,             0.00010139,             0.00010139
                     28,                 0.0265,                0.91221,                      1,                0.82616,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     29,                0.02798,                0.91985,                      1,                0.82317,             5.4264e-05,             5.4264e-05,             5.4264e-05
                     30,                 0.0355,                0.92112,                      1,                0.82373,             3.0702e-05,             3.0702e-05,             3.0702e-05
